Section,Function,URL
Debugging & Instrumentation API,MessageBoxA,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-messageboxa
Debugging & Instrumentation API,MessageBoxW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-messageboxw
Debugging & Instrumentation API,OutputDebugStringA,https://learn.microsoft.com/en-us/windows/win32/api/debugapi/nf-debugapi-outputdebugstringa
Debugging & Instrumentation API,OutputDebugStringW,https://learn.microsoft.com/en-us/windows/win32/api/debugapi/nf-debugapi-outputdebugstringw
Debugging & Instrumentation API,sprintf_s,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/sprintf-s-sprintf-s-l-swprintf-s-swprintf-s-l?view=msvc-170
Debugging & Instrumentation API,swprintf_s,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/sprintf-s-sprintf-s-l-swprintf-s-swprintf-s-l?view=msvc-170
Debugging & Instrumentation API,va_arg,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/va-arg-va-copy-va-end-va-start?view=msvc-170
Debugging & Instrumentation API,vsprintf_s,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/vsprintf-s-vsprintf-s-l-vswprintf-s-vswprintf-s-l?view=msvc-170
Debugging & Instrumentation API,vswprintf_s,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/vsprintf-s-vsprintf-s-l-vswprintf-s-vswprintf-s-l?view=msvc-170
Debugging & Instrumentation API,wcslen,https://en.cppreference.com/w/c/string/wide/wcslen
Debugging & Instrumentation API,WerRegisterMemoryBlock,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werregistermemoryblock
Debugging & Instrumentation API,WerReportAddDump,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werreportadddump
Debugging & Instrumentation API,WerReportCloseHandle,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werreportclosehandle
Debugging & Instrumentation API,WerReportCreate,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werreportcreate
Debugging & Instrumentation API,WerReportSetParameter,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werreportsetparameter
Debugging & Instrumentation API,WerReportSubmit,https://learn.microsoft.com/en-us/windows/win32/api/werapi/nf-werapi-werreportsubmit
GDI & Direct2D API,BeginPaint (GDI),https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-beginpaint
GDI & Direct2D API,D2D1::RectF,https://learn.microsoft.com/en-us/windows/win32/api/d2d1helper/nf-d2d1helper-rectf
GDI & Direct2D API,D2D1CreateFactory,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-d2d1createfactory-r1
GDI & Direct2D API,DrawRoundedRectangle,https://learn.microsoft.com/en-us/dotnet/api/system.windows.media.drawingcontext.drawroundedrectangle?view=windowsdesktop-6.0
GDI & Direct2D API,DWriteCreateFactory,https://learn.microsoft.com/en-us/windows/win32/api/dwrite/nf-dwrite-dwritecreatefactory
GDI & Direct2D API,EndPaint (GDI),https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-endpaint
GDI & Direct2D API,ID2D1RenderTarget::BeginDraw,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-id2d1rendertarget-begindraw
GDI & Direct2D API,ID2D1RenderTarget::Clear,https://learn.microsoft.com/en-us/windows/win32/direct2d/id2d1rendertarget-clear
GDI & Direct2D API,ID2D1RenderTarget::CreateHwndRenderTarget,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-id2d1factory-createhwndrendertarget(constd2d1_render_target_properties__constd2d1_hwnd_render_target_properties__id2d1hwndrendertarget)
GDI & Direct2D API,ID2D1RenderTarget::CreateSolidColorBrush,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-id2d1rendertarget-createsolidcolorbrush(constd2d1_color_f__id2d1solidcolorbrush)
GDI & Direct2D API,ID2D1RenderTarget::DrawText,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-id2d1rendertarget-drawtext(constwchar_uint32_idwritetextformat_constd2d1_rect_f__id2d1brush_d2d1_draw_text_options_dwrite_measuring_mode)
GDI & Direct2D API,ID2D1RenderTarget::EndDraw,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/nf-d2d1-id2d1rendertarget-enddraw
